,Calls,Bid,Ask,Vol,Expiration,Strike
150,16 Nov 100.00 (AAPL1604K100),9.70,9.85,10,334,100.0
156,16 Nov 100.00 (AAPL1604K100-E),9.70,9.85,2,334,100.0
157,16 Nov 100.00 (AAPL1604K100-I),9.70,9.85,6,334,100.0
161,16 Nov 100.00 (AAPL1604K100-P),9.70,9.85,2,334,100.0
180,16 Nov 102.00 (AAPL1604K102),7.70,7.90,1,334,102.0
185,16 Nov 102.00 (AAPL1604K102-B),7.70,7.90,1,334,102.0
240,16 Nov 106.00 (AAPL1604K106),3.70,3.90,55,334,106.0
242,16 Nov 106.00 (AAPL1604K106-4),3.70,3.90,5,334,106.0
246,16 Nov 106.00 (AAPL1604K106-E),3.70,3.90,35,334,106.0
247,16 Nov 106.00 (AAPL1604K106-I),3.70,3.90,10,334,106.0
250,16 Nov 106.00 (AAPL1604K106-O),3.70,3.90,5,334,106.0
255,16 Nov 107.00 (AAPL1604K107),2.72,2.84,206,334,107.0
258,16 Nov 107.00 (AAPL1604K107-8),2.72,2.84,14,334,107.0
259,16 Nov 107.00 (AAPL1604K107-A),2.72,2.84,50,334,107.0
261,16 Nov 107.00 (AAPL1604K107-E),2.72,2.84,51,334,107.0
262,16 Nov 107.00 (AAPL1604K107-I),2.72,2.84,1,334,107.0
263,16 Nov 107.00 (AAPL1604K107-J),2.72,2.84,19,334,107.0
268,16 Nov 107.00 (AAPL1604K107-X),2.72,2.84,71,334,107.0
270,16 Nov 108.00 (AAPL1604K108),1.72,1.89,2646,334,108.0
271,16 Nov 108.00 (AAPL1604K108-3),1.72,1.89,3,334,108.0
272,16 Nov 108.00 (AAPL1604K108-4),1.72,1.89,390,334,108.0
273,16 Nov 108.00 (AAPL1604K108-8),1.72,1.89,137,334,108.0
274,16 Nov 108.00 (AAPL1604K108-A),1.72,1.89,100,334,108.0
275,16 Nov 108.00 (AAPL1604K108-B),1.75,1.91,140,334,108.0
276,16 Nov 108.00 (AAPL1604K108-E),1.72,1.89,283,334,108.0
277,16 Nov 108.00 (AAPL1604K108-I),1.72,1.89,755,334,108.0
278,16 Nov 108.00 (AAPL1604K108-J),1.72,1.89,38,334,108.0
280,16 Nov 108.00 (AAPL1604K108-O),1.75,1.91,349,334,108.0
281,16 Nov 108.00 (AAPL1604K108-P),1.72,1.89,339,334,108.0
282,16 Nov 108.00 (AAPL1604K108-S),1.72,1.89,17,334,108.0
283,16 Nov 108.00 (AAPL1604K108-X),1.72,1.89,85,334,108.0
284,16 Nov 108.00 (AAPL1604K108-Y),1.75,1.91,10,334,108.0
285,16 Nov 109.00 (AAPL1604K109),0.78,0.86,17344,334,109.0
286,16 Nov 109.00 (AAPL1604K109-3),0.77,0.86,342,334,109.0
287,16 Nov 109.00 (AAPL1604K109-4),0.77,0.86,2689,334,109.0
288,16 Nov 109.00 (AAPL1604K109-8),0.76,0.87,248,334,109.0
289,16 Nov 109.00 (AAPL1604K109-A),0.77,0.86,638,334,109.0
290,16 Nov 109.00 (AAPL1604K109-B),0.77,0.86,654,334,109.0
291,16 Nov 109.00 (AAPL1604K109-E),0.76,0.87,2236,334,109.0
292,16 Nov 109.00 (AAPL1604K109-I),0.76,0.87,4635,334,109.0
293,16 Nov 109.00 (AAPL1604K109-J),0.77,0.86,106,334,109.0
294,16 Nov 109.00 (AAPL1604K109-K),0.77,0.86,2,334,109.0
295,16 Nov 109.00 (AAPL1604K109-O),0.76,0.87,1458,334,109.0
296,16 Nov 109.00 (AAPL1604K109-P),0.77,0.86,2757,334,109.0
297,16 Nov 109.00 (AAPL1604K109-S),0.76,0.87,295,334,109.0
298,16 Nov 109.00 (AAPL1604K109-X),0.77,0.86,1155,334,109.0
299,16 Nov 109.00 (AAPL1604K109-Y),0.77,0.86,129,334,109.0
300,16 Nov 110.00 (AAPL1604K110),0.09,0.11,39618,334,110.0
301,16 Nov 110.00 (AAPL1604K110-3),0.04,0.11,633,334,110.0
302,16 Nov 110.00 (AAPL1604K110-4),0.07,0.11,3767,334,110.0
303,16 Nov 110.00 (AAPL1604K110-8),0.06,0.13,1495,334,110.0
304,16 Nov 110.00 (AAPL1604K110-A),0.09,0.12,2834,334,110.0
305,16 Nov 110.00 (AAPL1604K110-B),0.07,0.11,750,334,110.0
306,16 Nov 110.00 (AAPL1604K110-E),0.07,0.11,6663,334,110.0
307,16 Nov 110.00 (AAPL1604K110-I),0.09,0.11,11664,334,110.0
308,16 Nov 110.00 (AAPL1604K110-J),0.04,0.11,212,334,110.0
309,16 Nov 110.00 (AAPL1604K110-K),0.04,0.35,60,334,110.0
310,16 Nov 110.00 (AAPL1604K110-O),0.09,0.11,2688,334,110.0
311,16 Nov 110.00 (AAPL1604K110-P),0.07,0.11,2355,334,110.0
312,16 Nov 110.00 (AAPL1604K110-S),0.07,0.11,2238,334,110.0
313,16 Nov 110.00 (AAPL1604K110-X),0.07,0.12,3771,334,110.0
314,16 Nov 110.00 (AAPL1604K110-Y),0.0,0.11,488,334,110.0
