,Puts,Bid.1,Ask.1,Vol.1,Expiration,Strike
75,16 Nov 95.00 (AAPL1604W95),0.0,0.01,100,,
88,16 Nov 95.00 (AAPL1604W95-X),0.0,0.09,100,,
105,16 Nov 98.00 (AAPL1604W98),0.0,0.01,5,,
107,16 Nov 98.00 (AAPL1604W98-4),0.0,0.01,2,,
109,16 Nov 98.00 (AAPL1604W98-A),0.0,0.01,3,,
150,16 Nov 100.00 (AAPL1604W100),0.0,0.01,52,334.0,100.0
152,16 Nov 100.00 (AAPL1604W100-4),0.0,0.01,50,,
153,16 Nov 100.00 (AAPL1604W100-8),0.0,0.24,2,,
165,16 Nov 101.00 (AAPL1604W101),0.0,0.01,5,,
168,16 Nov 101.00 (AAPL1604W101-8),0.0,0.02,5,,
195,16 Nov 103.00 (AAPL1604W103),0.0,0.01,215,,
199,16 Nov 103.00 (AAPL1604W103-A),0.0,0.01,45,,
201,16 Nov 103.00 (AAPL1604W103-E),0.0,0.03,160,,
208,16 Nov 103.00 (AAPL1604W103-X),0.0,0.01,10,,
210,16 Nov 104.00 (AAPL1604W104),0.0,0.01,354,,
212,16 Nov 104.00 (AAPL1604W104-4),0.0,0.03,137,,
213,16 Nov 104.00 (AAPL1604W104-8),0.0,0.03,15,,
214,16 Nov 104.00 (AAPL1604W104-A),0.0,0.03,1,,
217,16 Nov 104.00 (AAPL1604W104-I),0.0,0.01,111,,
220,16 Nov 104.00 (AAPL1604W104-O),0.0,0.01,85,,
221,16 Nov 104.00 (AAPL1604W104-P),0.0,0.03,5,,
225,16 Nov 105.00 (AAPL1604W105),0.0,0.01,1174,,
226,16 Nov 105.00 (AAPL1604W105-3),0.0,0.02,2,,
227,16 Nov 105.00 (AAPL1604W105-4),0.0,0.02,120,,
228,16 Nov 105.00 (AAPL1604W105-8),0.0,0.02,15,,
229,16 Nov 105.00 (AAPL1604W105-A),0.0,0.02,20,,
231,16 Nov 105.00 (AAPL1604W105-E),0.0,0.02,116,,
232,16 Nov 105.00 (AAPL1604W105-I),0.0,0.01,128,,
237,16 Nov 105.00 (AAPL1604W105-S),0.0,0.02,100,,
238,16 Nov 105.00 (AAPL1604W105-X),0.0,0.02,130,,
239,16 Nov 105.00 (AAPL1604W105-Y),0.0,0.01,543,,
240,16 Nov 106.00 (AAPL1604W106),0.0,0.01,2515,334.0,106.0
241,16 Nov 106.00 (AAPL1604W106-3),0.0,0.03,4,,
242,16 Nov 106.00 (AAPL1604W106-4),0.0,0.02,354,334.0,106.0
243,16 Nov 106.00 (AAPL1604W106-8),0.0,0.03,81,,
244,16 Nov 106.00 (AAPL1604W106-A),0.0,0.03,90,,
246,16 Nov 106.00 (AAPL1604W106-E),0.0,0.03,111,334.0,106.0
247,16 Nov 106.00 (AAPL1604W106-I),0.0,0.01,864,334.0,106.0
248,16 Nov 106.00 (AAPL1604W106-J),0.0,0.03,27,,
249,16 Nov 106.00 (AAPL1604W106-K),0.0,0.06,21,,
250,16 Nov 106.00 (AAPL1604W106-O),0.0,0.03,15,334.0,106.0
251,16 Nov 106.00 (AAPL1604W106-P),0.0,0.03,59,,
252,16 Nov 106.00 (AAPL1604W106-S),0.0,0.03,43,,
253,16 Nov 106.00 (AAPL1604W106-X),0.0,0.03,331,,
254,16 Nov 106.00 (AAPL1604W106-Y),0.0,0.01,515,,
255,16 Nov 107.00 (AAPL1604W107),0.01,0.02,2462,334.0,107.0
256,16 Nov 107.00 (AAPL1604W107-3),0.01,0.04,226,,
257,16 Nov 107.00 (AAPL1604W107-4),0.01,0.02,399,,
258,16 Nov 107.00 (AAPL1604W107-8),0.0,0.02,33,334.0,107.0
260,16 Nov 107.00 (AAPL1604W107-B),0.0,0.39,106,,
261,16 Nov 107.00 (AAPL1604W107-E),0.0,0.04,359,334.0,107.0
262,16 Nov 107.00 (AAPL1604W107-I),0.01,0.02,390,334.0,107.0
263,16 Nov 107.00 (AAPL1604W107-J),0.0,0.03,1,334.0,107.0
265,16 Nov 107.00 (AAPL1604W107-O),0.01,0.02,15,,
266,16 Nov 107.00 (AAPL1604W107-P),0.01,0.03,16,,
267,16 Nov 107.00 (AAPL1604W107-S),0.01,0.13,63,,
268,16 Nov 107.00 (AAPL1604W107-X),0.0,0.03,467,334.0,107.0
269,16 Nov 107.00 (AAPL1604W107-Y),0.01,0.02,387,,
270,16 Nov 108.00 (AAPL1604W108),0.02,0.03,12286,334.0,108.0
271,16 Nov 108.00 (AAPL1604W108-3),0.0,0.03,104,334.0,108.0
272,16 Nov 108.00 (AAPL1604W108-4),0.01,0.04,720,334.0,108.0
273,16 Nov 108.00 (AAPL1604W108-8),0.01,0.05,304,334.0,108.0
274,16 Nov 108.00 (AAPL1604W108-A),0.01,0.04,924,334.0,108.0
275,16 Nov 108.00 (AAPL1604W108-B),0.0,0.04,368,334.0,108.0
276,16 Nov 108.00 (AAPL1604W108-E),0.01,0.04,2172,334.0,108.0
277,16 Nov 108.00 (AAPL1604W108-I),0.02,0.03,4242,334.0,108.0
278,16 Nov 108.00 (AAPL1604W108-J),0.01,0.04,22,334.0,108.0
280,16 Nov 108.00 (AAPL1604W108-O),0.02,0.03,740,334.0,108.0
281,16 Nov 108.00 (AAPL1604W108-P),0.0,0.04,401,334.0,108.0
282,16 Nov 108.00 (AAPL1604W108-S),0.01,0.04,357,334.0,108.0
283,16 Nov 108.00 (AAPL1604W108-X),0.01,0.04,1422,334.0,108.0
284,16 Nov 108.00 (AAPL1604W108-Y),0.0,0.03,510,334.0,108.0
285,16 Nov 109.00 (AAPL1604W109),0.03,0.05,25652,334.0,109.0
286,16 Nov 109.00 (AAPL1604W109-3),0.03,0.05,455,334.0,109.0
287,16 Nov 109.00 (AAPL1604W109-4),0.03,0.05,2916,334.0,109.0
288,16 Nov 109.00 (AAPL1604W109-8),0.03,0.05,631,334.0,109.0
289,16 Nov 109.00 (AAPL1604W109-A),0.03,0.05,1649,334.0,109.0
290,16 Nov 109.00 (AAPL1604W109-B),0.01,0.42,604,334.0,109.0
291,16 Nov 109.00 (AAPL1604W109-E),0.03,0.05,4207,334.0,109.0
292,16 Nov 109.00 (AAPL1604W109-I),0.03,0.05,5325,334.0,109.0
293,16 Nov 109.00 (AAPL1604W109-J),0.03,0.07,129,334.0,109.0
295,16 Nov 109.00 (AAPL1604W109-O),0.03,0.05,3073,334.0,109.0
296,16 Nov 109.00 (AAPL1604W109-P),0.02,0.08,2533,334.0,109.0
297,16 Nov 109.00 (AAPL1604W109-S),0.03,0.05,1178,334.0,109.0
298,16 Nov 109.00 (AAPL1604W109-X),0.03,0.05,2412,334.0,109.0
299,16 Nov 109.00 (AAPL1604W109-Y),0.03,0.05,540,334.0,109.0
300,16 Nov 110.00 (AAPL1604W110),0.30,0.33,15960,334.0,110.0
301,16 Nov 110.00 (AAPL1604W110-3),0.32,0.37,118,334.0,110.0
302,16 Nov 110.00 (AAPL1604W110-4),0.32,0.36,1418,334.0,110.0
303,16 Nov 110.00 (AAPL1604W110-8),0.32,0.42,644,334.0,110.0
304,16 Nov 110.00 (AAPL1604W110-A),0.32,0.40,570,334.0,110.0
305,16 Nov 110.00 (AAPL1604W110-B),0.28,0.43,165,334.0,110.0
306,16 Nov 110.00 (AAPL1604W110-E),0.32,0.36,2776,334.0,110.0
307,16 Nov 110.00 (AAPL1604W110-I),0.32,0.34,4091,334.0,110.0
308,16 Nov 110.00 (AAPL1604W110-J),0.32,0.37,126,334.0,110.0
310,16 Nov 110.00 (AAPL1604W110-O),0.32,0.35,1557,334.0,110.0
311,16 Nov 110.00 (AAPL1604W110-P),0.29,0.34,2544,334.0,110.0
312,16 Nov 110.00 (AAPL1604W110-S),0.32,0.40,291,334.0,110.0
313,16 Nov 110.00 (AAPL1604W110-X),0.32,0.36,1493,334.0,110.0
314,16 Nov 110.00 (AAPL1604W110-Y),0.22,0.44,167,334.0,110.0
315,16 Nov 111.00 (AAPL1604W111),1.18,1.24,2912,334.0,111.0
317,16 Nov 111.00 (AAPL1604W111-4),1.18,1.27,277,334.0,111.0
318,16 Nov 111.00 (AAPL1604W111-8),1.12,1.28,275,334.0,111.0
319,16 Nov 111.00 (AAPL1604W111-A),1.20,1.28,11,334.0,111.0
320,16 Nov 111.00 (AAPL1604W111-B),1.16,1.30,150,334.0,111.0
321,16 Nov 111.00 (AAPL1604W111-E),1.20,1.28,647,334.0,111.0
322,16 Nov 111.00 (AAPL1604W111-I),1.22,1.27,509,334.0,111.0
323,16 Nov 111.00 (AAPL1604W111-J),0.91,1.43,40,334.0,111.0
325,16 Nov 111.00 (AAPL1604W111-O),1.22,1.27,112,334.0,111.0
326,16 Nov 111.00 (AAPL1604W111-P),1.22,1.27,661,334.0,111.0
327,16 Nov 111.00 (AAPL1604W111-S),1.12,1.27,25,334.0,111.0
328,16 Nov 111.00 (AAPL1604W111-X),1.20,1.28,187,334.0,111.0
329,16 Nov 111.00 (AAPL1604W111-Y),1.22,1.27,18,334.0,111.0
330,16 Nov 112.00 (AAPL1604W112),2.18,2.26,1152,334.0,112.0
331,16 Nov 112.00 (AAPL1604W112-3),2.19,2.28,5,334.0,112.0
332,16 Nov 112.00 (AAPL1604W112-4),2.19,2.28,109,334.0,112.0
333,16 Nov 112.00 (AAPL1604W112-8),2.19,2.28,157,334.0,112.0
334,16 Nov 112.00 (AAPL1604W112-A),2.19,2.28,30,334.0,112.0
335,16 Nov 112.00 (AAPL1604W112-B),1.96,2.49,2,334.0,112.0
336,16 Nov 112.00 (AAPL1604W112-E),2.19,2.28,345,334.0,112.0
337,16 Nov 112.00 (AAPL1604W112-I),2.19,2.28,95,334.0,112.0
339,16 Nov 112.00 (AAPL1604W112-K),2.19,4.30,5,,
340,16 Nov 112.00 (AAPL1604W112-O),2.19,2.27,54,334.0,112.0
341,16 Nov 112.00 (AAPL1604W112-P),2.19,2.28,153,334.0,112.0
343,16 Nov 112.00 (AAPL1604W112-X),2.19,2.28,194,334.0,112.0
344,16 Nov 112.00 (AAPL1604W112-Y),2.19,2.51,3,334.0,112.0
345,16 Nov 113.00 (AAPL1604W113),3.15,3.30,862,334.0,113.0
347,16 Nov 113.00 (AAPL1604W113-4),3.15,3.30,72,334.0,113.0
348,16 Nov 113.00 (AAPL1604W113-8),3.15,3.30,302,334.0,113.0
349,16 Nov 113.00 (AAPL1604W113-A),3.15,3.30,5,334.0,113.0
