AAPL (APPLE INC),109.80,-0.03,
Nov 04 2016 @ 14:35 ET,Bid,109.79,Ask,109.80,Size,13x6,Vol,20523482,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
16 Nov 70.00 (AAPL1604K70),41.65,0.0,39.70,39.85,0,0,16 Nov 70.00 (AAPL1604W70),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-3),0.0,0.0,39.45,40.10,0,0,16 Nov 70.00 (AAPL1604W70-3),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-4),0.0,0.0,39.45,40.10,0,0,16 Nov 70.00 (AAPL1604W70-4),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-8),0.0,0.0,39.25,40.35,0,0,16 Nov 70.00 (AAPL1604W70-8),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-A),0.0,0.0,39.25,40.45,0,0,16 Nov 70.00 (AAPL1604W70-A),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-B),0.0,0.0,39.45,40.10,0,0,16 Nov 70.00 (AAPL1604W70-B),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-E),41.65,0.0,39.70,39.85,0,0,16 Nov 70.00 (AAPL1604W70-E),0.0,0.0,0.0,0.02,0,0,
16 Nov 70.00 (AAPL1604K70-I),0.0,0.0,39.50,40.05,0,0,16 Nov 70.00 (AAPL1604W70-I),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-J),0.0,0.0,39.45,40.10,0,0,16 Nov 70.00 (AAPL1604W70-J),0.0,0.0,0.0,0.01,0,0,
16 Nov 70.00 (AAPL1604K70-K),0.0,0.0,37.95,41.45,0,0,16 Nov 70.00 (AAPL1604W70-K),0.0,0.0,0.0,2.13,0,0,
