,Calls,Bid,Ask,Vol,Expiration,Strike,Call IV
585,16 Nov 213.00 (SPY1625K213),7.00,10.36,207,-2,213.0,
615,16 Nov 214.00 (SPY1625K214),6.00,9.29,143,-2,214.0,
645,16 Nov 215.00 (SPY1625K215),6.50,7.20,492,-2,215.0,
651,16 Nov 215.00 (SPY1625K215-E),4.78,8.49,277,-2,215.0,
675,16 Nov 216.00 (SPY1625K216),5.32,5.69,1178,-2,216.0,0.0
681,16 Nov 216.00 (SPY1625K216-E),3.73,7.49,367,-2,216.0,
682,16 Nov 216.00 (SPY1625K216-I),5.32,5.69,179,-2,216.0,0.0
685,16 Nov 216.00 (SPY1625K216-O),5.31,5.74,425,-2,216.0,0.0
705,16 Nov 217.00 (SPY1625K217),3.00,6.31,808,-2,217.0,
711,16 Nov 217.00 (SPY1625K217-E),2.78,6.49,334,-2,217.0,
715,16 Nov 217.00 (SPY1625K217-O),2.73,6.48,230,-2,217.0,
720,16 Nov 217.50 (SPY1625K217.5),3.83,5.55,382,-2,217.5,
726,16 Nov 217.50 (SPY1625K217.5-E),2.28,5.99,260,-2,217.5,
735,16 Nov 218.00 (SPY1625K218),2.90,4.23,1844,-2,218.0,
741,16 Nov 218.00 (SPY1625K218-E),1.73,5.49,396,-2,218.0,
742,16 Nov 218.00 (SPY1625K218-I),2.90,4.23,147,-2,218.0,
750,16 Nov 218.50 (SPY1625K218.5),1.50,4.54,12648,-2,218.5,0.0
752,16 Nov 218.50 (SPY1625K218.5-4),1.35,4.86,110,-2,218.5,
754,16 Nov 218.50 (SPY1625K218.5-A),1.23,4.98,11609,-2,218.5,
756,16 Nov 218.50 (SPY1625K218.5-E),1.24,4.99,258,-2,218.5,
757,16 Nov 218.50 (SPY1625K218.5-I),1.50,4.86,318,-2,218.5,
765,16 Nov 219.00 (SPY1625K219),2.49,2.91,6512,-2,219.0,
767,16 Nov 219.00 (SPY1625K219-4),0.86,4.37,394,-2,219.0,
769,16 Nov 219.00 (SPY1625K219-A),0.74,4.49,106,-2,219.0,
771,16 Nov 219.00 (SPY1625K219-E),0.78,4.50,898,-2,219.0,
772,16 Nov 219.00 (SPY1625K219-I),1.00,4.37,994,-2,219.0,
775,16 Nov 219.00 (SPY1625K219-O),0.74,4.49,431,-2,219.0,
776,16 Nov 219.00 (SPY1625K219-P),0.74,4.49,446,-2,219.0,
778,16 Nov 219.00 (SPY1625K219-X),2.49,2.91,543,-2,219.0,
779,16 Nov 219.00 (SPY1625K219-Y),0.0,5.00,629,-2,219.0,0.0
780,16 Nov 219.50 (SPY1625K219.5),1.99,2.26,4744,-2,219.5,
782,16 Nov 219.50 (SPY1625K219.5-4),0.55,3.86,1817,-2,219.5,
786,16 Nov 219.50 (SPY1625K219.5-E),0.45,3.99,1440,-2,219.5,
787,16 Nov 219.50 (SPY1625K219.5-I),1.99,2.40,751,-2,219.5,
791,16 Nov 219.50 (SPY1625K219.5-P),1.99,2.26,225,-2,219.5,
795,16 Nov 220.00 (SPY1625K220),1.49,1.91,17928,-2,220.0,
796,16 Nov 220.00 (SPY1625K220-3),0.31,3.04,307,-2,220.0,
797,16 Nov 220.00 (SPY1625K220-4),0.30,3.36,1427,-2,220.0,
799,16 Nov 220.00 (SPY1625K220-A),0.17,3.48,1465,-2,220.0,
800,16 Nov 220.00 (SPY1625K220-B),0.0,5.00,465,-2,220.0,
801,16 Nov 220.00 (SPY1625K220-E),1.02,3.49,2264,-2,220.0,
802,16 Nov 220.00 (SPY1625K220-I),0.30,3.36,977,-2,220.0,
803,16 Nov 220.00 (SPY1625K220-J),0.17,3.48,172,-2,220.0,
805,16 Nov 220.00 (SPY1625K220-O),0.17,3.48,784,-2,220.0,
806,16 Nov 220.00 (SPY1625K220-P),1.31,3.48,6579,-2,220.0,
808,16 Nov 220.00 (SPY1625K220-X),1.49,1.91,867,-2,220.0,
809,16 Nov 220.00 (SPY1625K220-Y),0.09,5.00,279,-2,220.0,
810,16 Nov 220.50 (SPY1625K220.5),1.09,1.22,14190,-2,220.5,
811,16 Nov 220.50 (SPY1625K220.5-3),0.12,2.36,703,-2,220.5,
812,16 Nov 220.50 (SPY1625K220.5-4),1.09,1.23,985,-2,220.5,
814,16 Nov 220.50 (SPY1625K220.5-A),1.01,1.32,233,-2,220.5,
