,Puts,Bid,Ask,Vol,Expiration,Strike,Put IV
510,16 Nov 210.50 (SPY1625W210.5),0.0,0.01,441,-2,210.5,
515,16 Nov 210.50 (SPY1625W210.5-B),0.0,0.01,440,-2,210.5,
675,16 Nov 216.00 (SPY1625W216),0.0,0.01,251,-2,216.0,
690,16 Nov 216.50 (SPY1625W216.5),0.0,0.01,319,-2,216.5,
703,16 Nov 216.50 (SPY1625W216.5-X),0.0,0.05,289,-2,216.5,
705,16 Nov 217.00 (SPY1625W217),0.0,0.01,274,-2,217.0,
707,16 Nov 217.00 (SPY1625W217-4),0.0,0.01,117,-2,217.0,
720,16 Nov 217.50 (SPY1625W217.5),0.0,0.01,283,-2,217.5,
722,16 Nov 217.50 (SPY1625W217.5-4),0.0,0.01,206,-2,217.5,
735,16 Nov 218.00 (SPY1625W218),0.0,0.01,1135,-2,218.0,
737,16 Nov 218.00 (SPY1625W218-4),0.0,0.01,198,-2,218.0,
746,16 Nov 218.00 (SPY1625W218-P),0.0,0.01,118,-2,218.0,
750,16 Nov 218.50 (SPY1625W218.5),0.0,0.01,983,-2,218.5,
752,16 Nov 218.50 (SPY1625W218.5-4),0.0,0.01,254,-2,218.5,
756,16 Nov 218.50 (SPY1625W218.5-E),0.0,0.01,237,-2,218.5,
764,16 Nov 218.50 (SPY1625W218.5-Y),0.0,5.00,201,-2,218.5,
765,16 Nov 219.00 (SPY1625W219),0.0,0.01,4922,-2,219.0,
767,16 Nov 219.00 (SPY1625W219-4),0.0,0.01,525,-2,219.0,
769,16 Nov 219.00 (SPY1625W219-A),0.0,0.01,797,-2,219.0,
771,16 Nov 219.00 (SPY1625W219-E),0.0,0.01,256,-2,219.0,
772,16 Nov 219.00 (SPY1625W219-I),0.0,0.01,702,-2,219.0,
775,16 Nov 219.00 (SPY1625W219-O),0.0,0.01,258,-2,219.0,
776,16 Nov 219.00 (SPY1625W219-P),0.0,0.01,133,-2,219.0,
778,16 Nov 219.00 (SPY1625W219-X),0.0,0.01,1058,-2,219.0,
779,16 Nov 219.00 (SPY1625W219-Y),0.0,5.00,693,-2,219.0,
780,16 Nov 219.50 (SPY1625W219.5),0.0,0.01,2444,-2,219.5,
781,16 Nov 219.50 (SPY1625W219.5-3),0.0,0.01,206,-2,219.5,
782,16 Nov 219.50 (SPY1625W219.5-4),0.0,0.01,328,-2,219.5,
786,16 Nov 219.50 (SPY1625W219.5-E),0.0,0.01,206,-2,219.5,
787,16 Nov 219.50 (SPY1625W219.5-I),0.0,0.01,122,-2,219.5,
790,16 Nov 219.50 (SPY1625W219.5-O),0.0,0.01,179,-2,219.5,
791,16 Nov 219.50 (SPY1625W219.5-P),0.0,0.01,105,-2,219.5,
793,16 Nov 219.50 (SPY1625W219.5-X),0.0,0.05,306,-2,219.5,
795,16 Nov 220.00 (SPY1625W220),0.0,0.01,9769,-2,220.0,
796,16 Nov 220.00 (SPY1625W220-3),0.0,0.01,833,-2,220.0,
797,16 Nov 220.00 (SPY1625W220-4),0.0,0.01,512,-2,220.0,
799,16 Nov 220.00 (SPY1625W220-A),0.0,0.01,283,-2,220.0,
801,16 Nov 220.00 (SPY1625W220-E),0.0,0.01,1443,-2,220.0,
