,Calls,Bid,Ask,Vol,Expiration,Strike,Call IV
135,16 Nov 98.00 (AAPL1611K98),11.95,12.15,3,16,98.0,0.315794240327
148,16 Nov 98.00 (AAPL1611K98-X),11.95,12.15,3,16,98.0,0.315794240327
165,16 Nov 100.00 (AAPL1611K100),10.05,10.15,200,16,100.0,0.29041254407
167,16 Nov 100.00 (AAPL1611K100-4),10.00,10.15,3,16,100.0,0.28035983848
171,16 Nov 100.00 (AAPL1611K100-E),10.05,10.15,117,16,100.0,0.29041254407
176,16 Nov 100.00 (AAPL1611K100-P),10.00,10.15,80,16,100.0,0.28035983848
195,16 Nov 102.00 (AAPL1611K102),8.10,8.25,80,16,102.0,0.264366506003
198,16 Nov 102.00 (AAPL1611K102-8),8.10,8.25,80,16,102.0,0.264366506003
225,16 Nov 104.00 (AAPL1611K104),6.20,6.30,17,16,104.0,0.228711937693
227,16 Nov 104.00 (AAPL1611K104-4),6.20,6.30,7,16,104.0,0.228711937693
228,16 Nov 104.00 (AAPL1611K104-8),6.20,6.30,3,16,104.0,0.228711937693
236,16 Nov 104.00 (AAPL1611K104-P),6.15,6.30,3,16,104.0,0.223128439365
240,16 Nov 105.00 (AAPL1611K105),5.30,5.40,364,16,105.0,0.219547530487
242,16 Nov 105.00 (AAPL1611K105-4),5.30,5.40,10,16,105.0,0.219547530487
243,16 Nov 105.00 (AAPL1611K105-8),5.25,5.35,18,16,105.0,0.210144034003
245,16 Nov 105.00 (AAPL1611K105-B),5.25,5.40,3,16,105.0,0.214899526099
247,16 Nov 105.00 (AAPL1611K105-I),5.30,5.40,279,16,105.0,0.219547530487
248,16 Nov 105.00 (AAPL1611K105-J),5.25,5.35,5,16,105.0,0.210144034003
250,16 Nov 105.00 (AAPL1611K105-O),5.25,5.35,13,16,105.0,0.210144034003
251,16 Nov 105.00 (AAPL1611K105-P),5.25,5.35,6,16,105.0,0.210144034003
253,16 Nov 105.00 (AAPL1611K105-X),5.30,5.40,28,16,105.0,0.219547530487
255,16 Nov 106.00 (AAPL1611K106),4.35,4.45,167,16,106.0,0.197198010205
258,16 Nov 106.00 (AAPL1611K106-8),4.30,4.45,3,16,106.0,0.193062078281
261,16 Nov 106.00 (AAPL1611K106-E),4.35,4.45,5,16,106.0,0.197198010205
262,16 Nov 106.00 (AAPL1611K106-I),4.35,4.45,97,16,106.0,0.197198010205
266,16 Nov 106.00 (AAPL1611K106-P),4.35,4.50,62,16,106.0,0.201267203698
270,16 Nov 107.00 (AAPL1611K107),3.50,3.60,201,16,107.0,0.186438202503
271,16 Nov 107.00 (AAPL1611K107-3),3.50,3.60,3,16,107.0,0.186438202503
273,16 Nov 107.00 (AAPL1611K107-8),3.50,3.60,26,16,107.0,0.186438202503
274,16 Nov 107.00 (AAPL1611K107-A),3.50,3.60,13,16,107.0,0.186438202503
275,16 Nov 107.00 (AAPL1611K107-B),3.50,3.60,4,16,107.0,0.186438202503
276,16 Nov 107.00 (AAPL1611K107-E),3.50,3.60,6,16,107.0,0.186438202503
277,16 Nov 107.00 (AAPL1611K107-I),3.50,3.60,117,16,107.0,0.186438202503
279,16 Nov 107.00 (AAPL1611K107-K),3.50,3.60,4,16,107.0,0.186438202503
