,Puts,Bid,Ask,Vol,Expiration,Strike,Put IV
45,16 Nov 80.00 (AAPL1611W80),0.0,0.01,5,16,80.0,0.518615064857
59,16 Nov 80.00 (AAPL1611W80-Y),0.0,0.01,5,16,80.0,0.518615064857
60,16 Nov 85.00 (AAPL1611W85),0.0,0.01,244,16,85.0,0.426668628843
64,16 Nov 85.00 (AAPL1611W85-A),0.0,0.01,4,16,85.0,0.426668628843
65,16 Nov 85.00 (AAPL1611W85-B),0.0,0.02,8,16,85.0,0.456315761613
71,16 Nov 85.00 (AAPL1611W85-P),0.0,0.01,68,16,85.0,0.426668628843
72,16 Nov 85.00 (AAPL1611W85-S),0.0,0.01,12,16,85.0,0.426668628843
74,16 Nov 85.00 (AAPL1611W85-Y),0.0,0.03,150,16,85.0,0.476264847218
75,16 Nov 90.00 (AAPL1611W90),0.01,0.02,456,16,90.0,0.379721085681
77,16 Nov 90.00 (AAPL1611W90-4),0.0,0.02,20,16,90.0,0.363241853517
78,16 Nov 90.00 (AAPL1611W90-8),0.0,0.03,10,16,90.0,0.379721085681
82,16 Nov 90.00 (AAPL1611W90-I),0.0,0.02,18,16,90.0,0.363241853517
85,16 Nov 90.00 (AAPL1611W90-O),0.0,0.02,21,16,90.0,0.363241853517
86,16 Nov 90.00 (AAPL1611W90-P),0.0,0.02,30,16,90.0,0.363241853517
88,16 Nov 90.00 (AAPL1611W90-X),0.0,0.02,5,16,90.0,0.363241853517
89,16 Nov 90.00 (AAPL1611W90-Y),0.01,0.02,350,16,90.0,0.379721085681
90,16 Nov 95.00 (AAPL1611W95),0.01,0.02,4355,16,95.0,0.28654051253
91,16 Nov 95.00 (AAPL1611W95-3),0.01,0.04,150,16,95.0,0.305367831197
92,16 Nov 95.00 (AAPL1611W95-4),0.01,0.03,450,16,95.0,0.296779090413
93,16 Nov 95.00 (AAPL1611W95-8),0.01,0.04,14,16,95.0,0.305367831197
94,16 Nov 95.00 (AAPL1611W95-A),0.01,0.05,418,16,95.0,0.312852496075
95,16 Nov 95.00 (AAPL1611W95-B),0.01,0.03,22,16,95.0,0.296779090413
96,16 Nov 95.00 (AAPL1611W95-E),0.01,0.02,1503,16,95.0,0.28654051253
97,16 Nov 95.00 (AAPL1611W95-I),0.01,0.03,300,16,95.0,0.296779090413
98,16 Nov 95.00 (AAPL1611W95-J),0.01,0.04,46,16,95.0,0.305367831197
100,16 Nov 95.00 (AAPL1611W95-O),0.01,0.03,282,16,95.0,0.296779090413
101,16 Nov 95.00 (AAPL1611W95-P),0.01,0.03,222,16,95.0,0.296779090413
102,16 Nov 95.00 (AAPL1611W95-S),0.01,0.13,50,16,95.0,0.35444429151
103,16 Nov 95.00 (AAPL1611W95-X),0.01,0.03,646,16,95.0,0.296779090413
104,16 Nov 95.00 (AAPL1611W95-Y),0.01,0.02,252,16,95.0,0.28654051253
105,16 Nov 96.00 (AAPL1611W96),0.02,0.03,1045,16,96.0,0.286061895981
106,16 Nov 96.00 (AAPL1611W96-3),0.02,0.04,47,16,96.0,0.293167799429
107,16 Nov 96.00 (AAPL1611W96-4),0.02,0.04,221,16,96.0,0.293167799429
108,16 Nov 96.00 (AAPL1611W96-8),0.02,0.04,115,16,96.0,0.293167799429
109,16 Nov 96.00 (AAPL1611W96-A),0.02,0.04,68,16,96.0,0.293167799429
110,16 Nov 96.00 (AAPL1611W96-B),0.02,0.05,85,16,96.0,0.299519827458
111,16 Nov 96.00 (AAPL1611W96-E),0.02,0.04,253,16,96.0,0.293167799429
112,16 Nov 96.00 (AAPL1611W96-I),0.02,0.03,200,16,96.0,0.286061895981
115,16 Nov 96.00 (AAPL1611W96-O),0.02,0.03,10,16,96.0,0.286061895981
116,16 Nov 96.00 (AAPL1611W96-P),0.02,0.04,15,16,96.0,0.293167799429
118,16 Nov 96.00 (AAPL1611W96-X),0.02,0.04,30,16,96.0,0.293167799429
120,16 Nov 97.00 (AAPL1611W97),0.03,0.04,733,16,97.0,0.279567027856
122,16 Nov 97.00 (AAPL1611W97-4),0.03,0.05,50,16,97.0,0.285041997745
124,16 Nov 97.00 (AAPL1611W97-A),0.03,0.05,173,16,97.0,0.285041997745
125,16 Nov 97.00 (AAPL1611W97-B),0.03,0.06,5,16,97.0,0.29008927931
126,16 Nov 97.00 (AAPL1611W97-E),0.03,0.05,15,16,97.0,0.285041997745
127,16 Nov 97.00 (AAPL1611W97-I),0.03,0.04,200,16,97.0,0.279567027856
130,16 Nov 97.00 (AAPL1611W97-O),0.02,0.05,100,16,97.0,0.279567027856
132,16 Nov 97.00 (AAPL1611W97-S),0.03,0.05,15,16,97.0,0.285041997745
133,16 Nov 97.00 (AAPL1611W97-X),0.03,0.05,153,16,97.0,0.285041997745
134,16 Nov 97.00 (AAPL1611W97-Y),0.03,0.07,22,16,97.0,0.294788452435
135,16 Nov 98.00 (AAPL1611W98),0.05,0.06,898,16,98.0,0.278215942612
137,16 Nov 98.00 (AAPL1611W98-4),0.04,0.06,210,16,98.0,0.274045407999
139,16 Nov 98.00 (AAPL1611W98-A),0.04,0.06,240,16,98.0,0.274045407999
140,16 Nov 98.00 (AAPL1611W98-B),0.04,2.04,24,16,98.0,0.558077445958
142,16 Nov 98.00 (AAPL1611W98-I),0.05,0.06,87,16,98.0,0.278215942612
146,16 Nov 98.00 (AAPL1611W98-P),0.04,0.06,33,16,98.0,0.274045407999
147,16 Nov 98.00 (AAPL1611W98-S),0.05,0.06,10,16,98.0,0.278215942612
148,16 Nov 98.00 (AAPL1611W98-X),0.04,0.06,247,16,98.0,0.274045407999
149,16 Nov 98.00 (AAPL1611W98-Y),0.05,0.06,47,16,98.0,0.278215942612
150,16 Nov 99.00 (AAPL1611W99),0.06,0.07,942,16,99.0,0.264498025489
151,16 Nov 99.00 (AAPL1611W99-3),0.06,0.07,19,16,99.0,0.264498025489
152,16 Nov 99.00 (AAPL1611W99-4),0.04,0.08,541,16,99.0,0.260968941311
155,16 Nov 99.00 (AAPL1611W99-B),0.05,0.09,9,16,99.0,0.267865994661
157,16 Nov 99.00 (AAPL1611W99-I),0.06,0.07,267,16,99.0,0.264498025489
161,16 Nov 99.00 (AAPL1611W99-P),0.05,0.08,10,16,99.0,0.264498025489
162,16 Nov 99.00 (AAPL1611W99-S),0.06,0.08,34,16,99.0,0.267865994661
163,16 Nov 99.00 (AAPL1611W99-X),0.04,0.08,32,16,99.0,0.260968941311
164,16 Nov 99.00 (AAPL1611W99-Y),0.06,0.10,29,16,99.0,0.2741924668
165,16 Nov 100.00 (AAPL1611W100),0.08,0.09,979,16,100.0,0.255009615551
167,16 Nov 100.00 (AAPL1611W100-4),0.06,0.10,37,16,100.0,0.252199285419
168,16 Nov 100.00 (AAPL1611W100-8),0.08,0.10,106,16,100.0,0.257725604349
169,16 Nov 100.00 (AAPL1611W100-A),0.07,0.10,3,16,100.0,0.255009615551
170,16 Nov 100.00 (AAPL1611W100-B),0.06,0.09,18,16,100.0,0.249284270625
171,16 Nov 100.00 (AAPL1611W100-E),0.06,0.10,4,16,100.0,0.252199285419
172,16 Nov 100.00 (AAPL1611W100-I),0.08,0.09,273,16,100.0,0.255009615551
175,16 Nov 100.00 (AAPL1611W100-O),0.08,0.09,133,16,100.0,0.255009615551
176,16 Nov 100.00 (AAPL1611W100-P),0.07,0.10,10,16,100.0,0.255009615551
177,16 Nov 100.00 (AAPL1611W100-S),0.08,0.13,49,16,100.0,0.265389606742
178,16 Nov 100.00 (AAPL1611W100-X),0.08,0.10,278,16,100.0,0.257725604349
179,16 Nov 100.00 (AAPL1611W100-Y),0.08,0.09,66,16,100.0,0.255009615551
180,16 Nov 101.00 (AAPL1611W101),0.11,0.12,1691,16,101.0,0.246987586382
182,16 Nov 101.00 (AAPL1611W101-4),0.08,0.12,238,16,101.0,0.240186291822
184,16 Nov 101.00 (AAPL1611W101-A),0.09,0.12,308,16,101.0,0.242512505824
185,16 Nov 101.00 (AAPL1611W101-B),0.08,0.12,18,16,101.0,0.240186291822
186,16 Nov 101.00 (AAPL1611W101-E),0.09,0.12,419,16,101.0,0.242512505824
187,16 Nov 101.00 (AAPL1611W101-I),0.11,0.12,426,16,101.0,0.246987586382
190,16 Nov 101.00 (AAPL1611W101-O),0.10,0.12,20,16,101.0,0.244778060708
191,16 Nov 101.00 (AAPL1611W101-P),0.09,0.12,8,16,101.0,0.242512505824
192,16 Nov 101.00 (AAPL1611W101-S),0.10,0.13,72,16,101.0,0.246987586382
193,16 Nov 101.00 (AAPL1611W101-X),0.08,0.12,13,16,101.0,0.240186291822
194,16 Nov 101.00 (AAPL1611W101-Y),0.10,0.13,168,16,101.0,0.246987586382
195,16 Nov 102.00 (AAPL1611W102),0.13,0.14,841,16,102.0,0.231504576247
196,16 Nov 102.00 (AAPL1611W102-3),0.10,0.15,7,16,102.0,0.227686540862
197,16 Nov 102.00 (AAPL1611W102-4),0.11,0.15,122,16,102.0,0.229614857365
198,16 Nov 102.00 (AAPL1611W102-8),0.11,0.15,69,16,102.0,0.229614857365
199,16 Nov 102.00 (AAPL1611W102-A),0.12,0.15,10,16,102.0,0.231504576247
200,16 Nov 102.00 (AAPL1611W102-B),0.11,0.15,11,16,102.0,0.229614857365
201,16 Nov 102.00 (AAPL1611W102-E),0.13,0.15,98,16,102.0,0.233358096624
202,16 Nov 102.00 (AAPL1611W102-I),0.13,0.14,184,16,102.0,0.231504576247
203,16 Nov 102.00 (AAPL1611W102-J),0.08,0.15,9,16,102.0,0.223703157885
205,16 Nov 102.00 (AAPL1611W102-O),0.13,0.14,36,16,102.0,0.231504576247
206,16 Nov 102.00 (AAPL1611W102-P),0.13,0.14,9,16,102.0,0.231504576247
207,16 Nov 102.00 (AAPL1611W102-S),0.13,0.14,103,16,102.0,0.231504576247
208,16 Nov 102.00 (AAPL1611W102-X),0.11,0.15,137,16,102.0,0.229614857365
209,16 Nov 102.00 (AAPL1611W102-Y),0.08,0.14,46,16,102.0,0.221641799241
