,Calls,Bid,Ask,Vol,Expiration,Strike,Call IV
225,16 Nov 190.00 (SPY1609K190),24.09,24.34,8,15,190.0,0.337852215325
235,16 Nov 190.00 (SPY1609K190-O),24.00,24.34,3,15,190.0,0.324596611495
236,16 Nov 190.00 (SPY1609K190-P),23.99,24.34,3,15,190.0,0.32301269443
360,16 Nov 195.00 (SPY1609K195),19.14,19.37,449,15,195.0,0.285062457838
366,16 Nov 195.00 (SPY1609K195-E),19.14,19.38,448,15,195.0,0.286161256957
405,16 Nov 196.50 (SPY1609K196.5),17.67,17.89,3,15,196.5,0.271138274729
412,16 Nov 196.50 (SPY1609K196.5-I),17.67,17.90,3,15,196.5,0.272139396609
510,16 Nov 200.00 (SPY1609K200),14.23,14.47,31,15,200.0,0.23757357315
517,16 Nov 200.00 (SPY1609K200-I),14.23,14.48,21,15,200.0,0.238372516278
520,16 Nov 200.00 (SPY1609K200-O),14.17,14.51,5,15,200.0,0.235959563106
521,16 Nov 200.00 (SPY1609K200-P),14.17,14.49,5,15,200.0,0.234323181157
540,16 Nov 201.00 (SPY1609K201),13.27,13.51,50,15,201.0,0.230071900092
546,16 Nov 201.00 (SPY1609K201-E),13.30,13.57,50,15,201.0,0.236526851701
555,16 Nov 201.50 (SPY1609K201.5),12.82,13.08,4,15,201.5,0.231544181612
570,16 Nov 202.00 (SPY1609K202),12.32,12.56,63,15,202.0,0.223115041909
576,16 Nov 202.00 (SPY1609K202-E),12.32,12.61,56,15,202.0,0.226430260063
584,16 Nov 202.00 (SPY1609K202-Y),12.31,12.66,3,15,202.0,0.229028176961
600,16 Nov 203.00 (SPY1609K203),11.40,11.61,4,15,203.0,0.217032901406
602,16 Nov 203.00 (SPY1609K203-4),11.40,11.61,3,15,203.0,0.217032901406
630,16 Nov 204.00 (SPY1609K204),10.46,10.72,5,15,204.0,0.21197417706
634,16 Nov 204.00 (SPY1609K204-A),10.46,10.76,5,15,204.0,0.214160622881
660,16 Nov 205.00 (SPY1609K205),9.53,9.78,101,15,205.0,0.203437135193
662,16 Nov 205.00 (SPY1609K205-4),9.51,9.82,60,15,205.0,0.204450124228
663,16 Nov 205.00 (SPY1609K205-8),9.53,9.85,5,15,205.0,0.206959452996
666,16 Nov 205.00 (SPY1609K205-E),9.53,9.85,15,15,205.0,0.206959452996
667,16 Nov 205.00 (SPY1609K205-I),9.51,9.83,10,15,205.0,0.204954601589
671,16 Nov 205.00 (SPY1609K205-P),9.51,9.83,7,15,205.0,0.204954601589
675,16 Nov 205.50 (SPY1609K205.5),9.06,9.38,10,15,205.5,0.20193975593
677,16 Nov 205.50 (SPY1609K205.5-4),9.06,9.38,10,15,205.5,0.20193975593
690,16 Nov 206.00 (SPY1609K206),8.60,8.92,30,15,206.0,0.197622607699
693,16 Nov 206.00 (SPY1609K206-8),8.62,8.95,7,15,206.0,0.199924634644
696,16 Nov 206.00 (SPY1609K206-E),8.60,8.94,20,15,206.0,0.198546278356
703,16 Nov 206.00 (SPY1609K206-X),8.60,8.93,3,15,206.0,0.198084926768
705,16 Nov 206.50 (SPY1609K206.5),8.15,8.48,9,15,206.5,0.194346836021
712,16 Nov 206.50 (SPY1609K206.5-I),8.15,8.49,3,15,206.5,0.194789558505
716,16 Nov 206.50 (SPY1609K206.5-P),8.15,8.49,6,15,206.5,0.194789558505
720,16 Nov 207.00 (SPY1609K207),7.72,7.90,27,15,207.0,0.185524251342
723,16 Nov 207.00 (SPY1609K207-8),7.72,8.05,10,15,207.0,0.191953290258
727,16 Nov 207.00 (SPY1609K207-I),7.72,7.90,6,15,207.0,0.185524251342
731,16 Nov 207.00 (SPY1609K207-P),7.72,8.02,5,15,207.0,0.190680492326
735,16 Nov 207.50 (SPY1609K207.5),7.27,7.58,43,15,207.5,0.186635303116
736,16 Nov 207.50 (SPY1609K207.5-3),7.27,7.58,40,15,207.5,0.186635303116
750,16 Nov 208.00 (SPY1609K208),6.81,7.14,102,15,208.0,0.181823981422
752,16 Nov 208.00 (SPY1609K208-4),6.81,7.15,6,15,208.0,0.182218351671
754,16 Nov 208.00 (SPY1609K208-A),6.81,7.14,4,15,208.0,0.181823981422
756,16 Nov 208.00 (SPY1609K208-E),6.81,7.15,48,15,208.0,0.182218351671
760,16 Nov 208.00 (SPY1609K208-O),6.81,7.14,3,15,208.0,0.181823981422
763,16 Nov 208.00 (SPY1609K208-X),6.81,7.15,36,15,208.0,0.182218351671
764,16 Nov 208.00 (SPY1609K208-Y),6.81,7.16,4,15,208.0,0.182612217983
765,16 Nov 208.50 (SPY1609K208.5),6.52,6.59,402,15,208.5,0.178950429838
766,16 Nov 208.50 (SPY1609K208.5-3),4.80,8.31,108,15,208.5,0.178950429838
768,16 Nov 208.50 (SPY1609K208.5-8),6.52,6.63,129,15,208.5,0.180461909163
770,16 Nov 208.50 (SPY1609K208.5-B),6.52,6.68,39,15,208.5,0.182342327564
771,16 Nov 208.50 (SPY1609K208.5-E),6.51,6.59,51,15,208.5,0.178571539532
778,16 Nov 208.50 (SPY1609K208.5-X),6.52,6.58,73,15,208.5,0.178571539532
780,16 Nov 209.00 (SPY1609K209),6.09,6.16,974,15,209.0,0.174840518936
781,16 Nov 209.00 (SPY1609K209-3),4.36,7.87,80,15,209.0,0.174109459873
782,16 Nov 209.00 (SPY1609K209-4),6.08,6.15,46,15,209.0,0.174109459873
783,16 Nov 209.00 (SPY1609K209-8),6.08,6.18,222,15,209.0,0.175205539586
784,16 Nov 209.00 (SPY1609K209-A),6.04,6.18,89,15,209.0,0.173743415894
785,16 Nov 209.00 (SPY1609K209-B),6.08,6.24,26,15,209.0,0.177388709254
786,16 Nov 209.00 (SPY1609K209-E),6.08,6.17,215,15,209.0,0.174840518936
787,16 Nov 209.00 (SPY1609K209-I),6.08,6.15,5,15,209.0,0.174109459873
788,16 Nov 209.00 (SPY1609K209-J),6.07,6.25,29,15,209.0,0.177388709254
790,16 Nov 209.00 (SPY1609K209-O),6.09,6.16,120,15,209.0,0.174840518936
791,16 Nov 209.00 (SPY1609K209-P),6.08,6.20,30,15,209.0,0.175934576784
793,16 Nov 209.00 (SPY1609K209-X),6.08,6.15,87,15,209.0,0.174109459873
794,16 Nov 209.00 (SPY1609K209-Y),6.09,6.16,25,15,209.0,0.174840518936
795,16 Nov 209.50 (SPY1609K209.5),5.66,5.72,446,15,209.5,0.169932854416
796,16 Nov 209.50 (SPY1609K209.5-3),5.65,5.71,160,15,209.5,0.169225865517
798,16 Nov 209.50 (SPY1609K209.5-8),5.65,5.75,10,15,209.5,0.170638729398
