,Puts,Bid,Ask,Vol,Expiration,Strike,Put IV
60,16 Nov 179.00 (SPY1609W179),0.0,0.01,3,15,179.0,0.296608831916
74,16 Nov 179.00 (SPY1609W179-Y),0.0,0.01,3,15,179.0,0.296608831916
75,16 Nov 180.00 (SPY1609W180),0.0,0.01,79,15,180.0,0.288084707745
81,16 Nov 180.00 (SPY1609W180-E),0.0,0.01,71,15,180.0,0.288084707745
85,16 Nov 180.00 (SPY1609W180-O),0.0,0.01,4,15,180.0,0.288084707745
87,16 Nov 180.00 (SPY1609W180-S),0.0,0.01,4,15,180.0,0.288084707745
90,16 Nov 181.00 (SPY1609W181),0.0,0.01,2267,15,181.0,0.279591246979
92,16 Nov 181.00 (SPY1609W181-4),0.0,0.02,30,15,181.0,0.298193939888
93,16 Nov 181.00 (SPY1609W181-8),0.0,0.01,225,15,181.0,0.279591246979
96,16 Nov 181.00 (SPY1609W181-E),0.0,0.02,99,15,181.0,0.298193939888
100,16 Nov 181.00 (SPY1609W181-O),0.0,0.01,8,15,181.0,0.279591246979
102,16 Nov 181.00 (SPY1609W181-S),0.0,0.01,433,15,181.0,0.279591246979
104,16 Nov 181.00 (SPY1609W181-Y),0.0,0.01,1472,15,181.0,0.279591246979
105,16 Nov 182.00 (SPY1609W182),0.0,0.01,19,15,182.0,0.271127443577
110,16 Nov 182.00 (SPY1609W182-B),0.0,0.05,4,15,182.0,0.318673885605
112,16 Nov 182.00 (SPY1609W182-I),0.0,0.01,9,15,182.0,0.271127443577
117,16 Nov 182.00 (SPY1609W182-S),0.0,0.01,6,15,182.0,0.271127443577
120,16 Nov 183.00 (SPY1609W183),0.01,0.02,105,15,183.0,0.292161049969
126,16 Nov 183.00 (SPY1609W183-E),0.0,0.02,100,15,183.0,0.280336284988
132,16 Nov 183.00 (SPY1609W183-S),0.01,0.02,4,15,183.0,0.292161049969
135,16 Nov 184.00 (SPY1609W184),0.01,0.02,5,15,184.0,0.282959310237
148,16 Nov 184.00 (SPY1609W184-X),0.0,0.02,4,15,184.0,0.271449202549
150,16 Nov 185.00 (SPY1609W185),0.01,0.02,78,15,185.0,0.273783505915
153,16 Nov 185.00 (SPY1609W185-8),0.0,0.02,18,15,185.0,0.262588319073
156,16 Nov 185.00 (SPY1609W185-E),0.0,0.02,5,15,185.0,0.262588319073
160,16 Nov 185.00 (SPY1609W185-O),0.01,0.02,50,15,185.0,0.273783505915
162,16 Nov 185.00 (SPY1609W185-S),0.0,0.02,4,15,185.0,0.262588319073
165,16 Nov 186.00 (SPY1609W186),0.01,0.02,44,15,186.0,0.264632256257
175,16 Nov 186.00 (SPY1609W186-O),0.01,0.02,10,15,186.0,0.264632256257
177,16 Nov 186.00 (SPY1609W186-S),0.0,0.02,4,15,186.0,0.253752348886
178,16 Nov 186.00 (SPY1609W186-X),0.0,0.02,30,15,186.0,0.253752348886
180,16 Nov 187.00 (SPY1609W187),0.01,0.02,14,15,187.0,0.255504115609
182,16 Nov 187.00 (SPY1609W187-4),0.01,0.04,10,15,187.0,0.270589178416
184,16 Nov 187.00 (SPY1609W187-A),0.01,0.02,4,15,187.0,0.255504115609
195,16 Nov 188.00 (SPY1609W188),0.01,0.03,48,15,188.0,0.254383023684
202,16 Nov 188.00 (SPY1609W188-I),0.01,0.03,45,15,188.0,0.254383023684
